0.01, 1.55, 1, 1, -0.35, Import
0.02, 1.75, 1, 1, -0.25, Import
0.03, 1.80, 1, 1, -0.45, Import
0.04, 1.15, 0, 1, -0.50, Import
0.05, 1.05, 1, 1, -0.40, Import
0.06, 1.20, 0, 1, -0.60, Import
0.07, 1.90, 1, 1, -0.55, Import
0.08, 1.85, 1, 0, -0.40, Import
0.09, 1.65, 1, 1, -0.35, Import
0.09, 1.60, 1, 0, -0.30, Import
0.09, 1.75, 1, 1, -0.25, Import
0.09, 1.85, 1, 1, -0.35, Import
0.09, 1.55, 1, 0, -0.43, Import
0.09, 1.60, 1, 1, -0.30, Import
0.09, 1.55, 1, 1, -0.35, Import
0.09, 1.65, 1, 0, -0.50, Import
0.09, 1.75, 1, 1, -0.15, Import
0.09, 1.65, 1, 1, -0.20, Import
0.09, 1.60, 1, 0, -0.40, Import
0.09, 1.55, 1, 1, -0.35, Import
0.10, 1.90, 0, 1, -0.20, Import
0.11, 1.20, 0, 1, -0.20, Import
0.11, 1.25, 0, 0, -0.35, Import
0.11, 1.25, 0, 1, -0.45, Import
0.11, 1.25, 0, 1, -0.10, Import
0.11, 1.20, 0, 1, -0.15, Import
0.12, 0.55, 0, 1, -0.20, Import
0.13, 1.55, 1, 1, -0.25, Import
0.14, 1.70, 1, 0, -0.30, Import
0.15, 1.85, 1, 1, -0.45, Import
0.16, 0.95, 0, 1, -0.30, Import
0.17, 1.90, 1, 0, -0.15, Import
0.17, 1.90, 0, 0, -0.40, Import
0.17, 1.85, 0, 1, -0.20, Import
0.17, 1.85, 0, 1, -0.25, Import
0.17, 1.95, 1, 0, -0.50, Import
0.17, 1.90, 0, 0, -0.20, Import
0.17, 1.95, 0, 1, -0.10, Import
0.17, 1.85, 0, 1, -0.30, Import
0.17, 1.95, 1, 0, -0.15, Import
0.17, 1.90, 0, 0, -0.20, Import
0.17, 1.85, 0, 1, -0.40, Import
0.17, 1.85, 0, 1, -0.35, Import
0.18, 1.65, 1, 0, -0.30, Import
0.19, 1.50, 1, 1, -0.45, Import
0.20, 1.55, 1, 1, -0.30, Import
0.21, 1.05, 1, 1, -0.25, Import
0.22, 1.60, 1, 0, -0.20, Import
0.23, 1.05, 1, 1, -0.40, Import
0.24, 1.95, 1, 1, -0.35, Import
0.25, 1.95, 1, 0, -0.30, Import
0.26, 1.95, 1, 0, -0.15, Import
0.27, 1.35, 0, 1, -0.20, Import
0.28, 1.55, 0, 1, -0.20, Import
0.28, 1.45, 0, 1, -0.25, Import
0.29, 1.15, 1, 1, -0.30, Import
0.30, 1.85, 1, 0, -0.40, Import
0.31, 0.00, 1, 1, -0.15, Subsidy
0.32, 1.95, 0, 0, -0.20, Import
0.32, 1.90, 0, 0, -0.40, Import
0.32, 1.95, 0, 0, -0.35, Import
0.32, 1.85, 0, 0, -0.25, Import
0.32, 1.90, 0, 0, -0.15, Import
0.32, 1.85, 0, 0, -0.10, Import
0.32, 1.90, 0, 0, -0.35, Import
0.32, 1.90, 0, 0, -0.40, Import
